Strains	Propidium_p.value	Propidium_Mean	Propidium_est	Propidium_ci	Propidium_p.adj	Suberin_p.value	Suberin_Mean	Suberin_est	Suberin_ci	Suberin_p.adj
L122	0.0981962528224943	0.063097058752789	-0.0616737187942953	0.0207471689177422	0.206857643706476	0.143512400739315	0.457322694897996	0.108766373170943	0.116855018654145	0.181462488472811
L123	0.0611350116816217	0.0632619099249186	-0.0615088676221657	0.0088486181844902	0.157251415217681	0.08698347977803	0.498745934486049	0.150189612758996	0.160685004051033	0.1171039727756
L125	0.683874584271273	0.109786278130021	-0.0149844994170633	0.055221436897937	0.777300073925818	0.0237224940939178	0.589421236658079	0.240864914931025	0.194251008099063	0.035885663792981
L126	0.00678129504066898	0.0426791425223063	-0.076727827489933	0.0102075147982999	0.0494915567880403	1.25787223380156e-08	0.914760162438181	0.584064220584147	0.0990204999724957	3.27046780788407e-07
L127	0.284259982389029	0.0811822392340645	-0.0380118120387341	0.0624793947431483	0.412028406529045	0.0151222087750587	0.510515736877155	0.163361247991299	0.107334150705649	0.0242889530904418
L129	0.725580049264104	0.114157059591743	-0.0106137179553411	0.022224915269772	0.809226006685972	0.00223549427502177	0.65142568526686	0.302869363539806	0.127821160671872	0.00507285098064343
L13	0.824508797652127	0.119042258636851	0.0043423687624821	0.0296111889169978	0.874988928120625	0.724159957712937	0.396667607653993	0.013582333565775	0.0388438417436612	0.764595285300969
L130	0.0308371320922636	0.0627719906240136	-0.0454769122945174	0.0370502462615223	0.107645124784513	0.219945025042915	0.611731297182635	0.0508791732755908	0.10319319706631	0.262169428131383
L131	0.267070534020231	0.0833220515751841	-0.0414487259719002	0.0470267000098141	0.396790507687201	0.000460437999883216	0.827579365079365	0.479023043352312	0.188833676224914	0.00136888191311204
L132	0.00106718310968446	0.0570752673607053	-0.0455254537804928	0.0189262423796661	0.0181378232424349	0.00381046391141601	0.759297423887588	0.409935595013381	0.275708579611847	0.00796559290024654
L137	7.95674620342264e-06	0.0378367906642059	-0.0647639304769921	0.00584264193458395	0.00206986173997134	0.000248920931084504	0.694246430137951	0.344884601263744	0.140170056123313	0.000841035120438006
L139	0.000307638484514452	0.0547299014532298	-0.0478708196879683	0.0141347191119619	0.0105297317561885	2.24265218903473e-09	1	0.650638171125793	6.89261979826974e-17	6.66388079027464e-08
L141	2.65140833661524e-05	0.0422462361011377	-0.0603544850400604	0.00993268337941111	0.00206986173997134	0.00851708326566488	0.530658927129515	0.181297098255308	0.131147938010967	0.0153381239762623
L145	0.249509150894094	0.123419947354257	0.0208192262130588	0.0433977183873828	0.37743929735252	0.00077913317040783	0.754639262885897	0.40527743401169	0.205232245911827	0.00205703821886678
L15	0.00502478162986126	0.0343779047180635	-0.0848161465547351	0.00833498229097268	0.0435481074587976	0.00420277113537763	0.561096220852318	0.213941731966463	0.136662902424555	0.00854585007732323
L151	0.0467590355153218	0.0779010392174151	-0.024699681923783	0.0238476218390859	0.129678391829159	2.24265218903473e-09	1	0.650638171125793	6.89261979826974e-17	6.66388079027464e-08
L154	0.135254385273872	0.0743925800490352	-0.0282081410921628	0.0440354226533403	0.252313113336013	0.000743837567491911	0.745760067467847	0.39639823859364	0.198720279001787	0.00200932745504308
L155	3.26329430831521e-05	0.0423810277969209	-0.0602196933442772	0.0109232386077033	0.00206986173997134	6.30148977435638e-05	0.730152005645427	0.38079017677122	0.124231427452151	0.000297888607515029
L159	0.899843339926347	0.0995923282989754	-0.00300839284222271	0.07972562219756	0.9288705444401	2.59119281216192e-05	0.9375	0.588138171125793	0.198902894080232	0.000149713362480467
L16	0.153120437198912	0.0790348159159586	-0.0323727476279654	0.0189006253246355	0.276948269020641	1.7357395362576e-09	1	0.660300500383147	0	6.01723039235969e-08
