Strains	Mean	p.value	est	p.adj	Significance	Variable
L222	-0.154009346889141	0.706481462771158	0.0249982657096568	1	NoSignificant	Weight
L334	-0.0756708122002508	0.573920918575465	0.103336800398547	1	NoSignificant	Weight
L335	-0.184361932235319	0.967372436317867	-0.00535431963652158	1	NoSignificant	Weight
L145	0.236129842383668	0.124817458531853	0.415137454982465	1	NoSignificant	Weight
RCL52HK	-0.138583741446593	0.809144670301156	0.0404238711522045	1	NoSignificant	Weight
RCL52	-0.567570618644425	1.04162520970625e-05	-0.388563006045627	0.000864548924056186	Down	Weight
RMF110	0.541374146156229	0.00046710462224865	0.720381758755026	0.0387696836466379	Up	Weight
RCL130	-1.12923068893345	4.56851286484039e-13	-0.950223076334649	3.79186567781752e-11	Down	Weight
RCL58	-0.939547410978621	3.50728286439336e-10	-0.760539798379823	2.91104477744649e-08	Down	Weight
RCL58HK	-0.157122180532598	0.861359897544792	0.0218854320661992	1	NoSignificant	Weight
RMF110HK	0.047709548879902	0.00894897121393438	0.2267171614787	0.742764610756553	NoSignificant	Weight
RCL130HK	0.0305942170399625	0.0618532997662594	0.20960182963876	1	NoSignificant	Weight
RMF369HK	-0.392815230729602	0.0381612862831002	-0.213807618130805	1	NoSignificant	Weight
RMF366HK	-0.0189079503404764	0.122160142924852	0.160099662258321	1	NoSignificant	Weight
RMF160HK	-0.0136157632225307	0.047868775748542	0.165391849376267	1	NoSignificant	Weight
RMF164HK	0.150224471700188	0.00210283465389323	0.329232084298985	0.174535276273138	NoSignificant	Weight
RMF164	0.606239188472	2.11220177649742e-05	0.785246801070798	0.00175312747449286	Up	Weight
RMF369	0.197083791249071	0.0398648782114935	0.376091403847868	1	NoSignificant	Weight
RMF366	0.106890228056185	0.0467779535824856	0.285897840654983	1	NoSignificant	Weight
RMF160	0.483614902778524	0.0011536153346319	0.662622515377322	0.0957500727744481	Up	Weight
RMF300HK	-0.23252551758234	0.556327709915466	-0.0535179049835424	1	NoSignificant	Weight
RMF88HK	-0.531294418783988	7.2232415256478e-05	-0.35228680618519	0.00599529046628768	Down	Weight
RCL69HK	-0.325672671085749	0.0876735041101139	-0.146665058486952	1	NoSignificant	Weight
RMF279HK	-0.46825528820475	0.001110386054104	-0.289247675605952	0.0921620424906322	Down	Weight
RCL69	-0.0851923798968677	0.379851785625321	0.0938152327019299	1	NoSignificant	Weight
RMF279	-0.238684340725235	0.476159074609537	-0.0596767281264375	1	NoSignificant	Weight
RMF300	0.161785100000395	0.00158629900559447	0.340792712599192	0.131662817464341	NoSignificant	Weight
RMF88	0.210962554034035	0.000217624038115224	0.389970166632833	0.0180627951635636	Up	Weight
RMF397HK	-0.166164685858389	0.913000998366561	0.0128429267404087	1	NoSignificant	Weight
RMF329HK	-0.25221817218998	0.45941729786784	-0.0732105595911829	1	NoSignificant	Weight
RCL4HK	-0.161257826267493	0.845546591617997	0.0177497863313046	1	NoSignificant	Weight
RMF26HK	-0.16507358089138	0.939272525133513	0.013934031707418	1	NoSignificant	Weight
RMF397	0.314344174381989	0.000367650494063139	0.493351786980787	0.0305149910072405	Up	Weight
RMF26	0.279236157404816	0.0176288114823306	0.458243770003613	1	NoSignificant	Weight
RMF329	0.111681426236089	0.0256946215680026	0.290689038834886	1	NoSignificant	Weight
RCL4	0.143389181345178	0.245269099260437	0.322396793943976	1	NoSignificant	Weight
L22HK	0.247490201566559	0.000904630397677166	0.426497814165357	0.0750843230072048	Up	Weight
L22	0.568541003468804	9.59235684785417e-06	0.747548616067601	0.000796165618371896	Up	Weight
