Strains	Propidium_p.value	Propidium_Mean	Propidium_est	Propidium_ci	Propidium_p.adj	Suberin_p.value	Suberin_Mean	Suberin_est	Suberin_ci	Suberin_p.adj
L3	0.108474820074976	0.432317558274934	0.317617668400565	0.428289288380454	0.202356615027759	0.505716202986641	-0.849196398590217	0.145169916663307	0.451241320309377	0.552173072027409
L30	0.241451725544842	-0.127237983127568	-0.241937873001937	0.488375924471188	0.369238104611896	6.65857580692366e-06	1.54402280263771	2.53838911789124	2.7570479193079e-16	9.49768148350422e-05
L304	0.354047102885435	0.57768886526647	0.470877918068916	1.18529753022419	0.484485509211648	0.000278491221365584	1.1551656255309	1.97823577071878	0.649759660924999	0.0012324717881711
L306	0.00704007051491365	-0.84584530996272	-0.954094212881251	0.522424506267771	0.024405577785034	0.775767644410447	-0.130534236764699	0.132383438751798	1.19419418107693	0.806798350186864
L307	0.227793235107906	1.37657917972655	1.26833027680802	3.17524565461556	0.353589499271973	1.74728367437579e-06	1.54402280263771	1.80694047815421	6.75556260331479e-16	4.54293755337706e-05
L311	0.623715440465881	0.236817773792016	0.128568870873485	0.632189384841308	0.708089112265391	0.253057179533508	-0.0941766945991643	0.168740980917334	0.302073794398258	0.298220358883681
L313	0.766619046556434	0.188732753136762	0.0804838502182314	0.61126684946449	0.826200837739577	0.0248578405964697	0.793956118356466	1.05687379387296	0.865781082311425	0.0396201597246413
L314	0.069638021976587	-0.111270550933623	-0.219519453852154	0.245214816916168	0.142006946775785	0.130727886738115	-0.115554092358751	0.147363583157747	0.137607977225541	0.169946252759549
L32	0.618739138485476	-0.00220100237303742	-0.116900892247406	0.695908040580889	0.7052562741228	0.00248753685767888	1.17827600039771	2.17264231565124	1.01547591882099	0.0064675958299651
L320	0.761052510398898	0.234221625442742	0.125972722524211	1.11102309280323	0.825469250498896	0.170003964053181	0.336338675479941	0.599256350996439	0.991854292923875	0.209856525359417
L321	0.0241404597243858	-0.00169575095456697	-0.109944653873098	0.131262749156855	0.0631599449392734	0.216769918405646	-0.76005348790967	-0.497135812393172	1.01329833425722	0.259874023218297
L324	0.249274495256776	0.764804474908215	0.656555571989684	1.46691801245053	0.377114061697008	0.0203813238214916	0.706707925805164	0.969625601321662	0.746590438742823	0.0336453599592878
L325	0.0285389652323099	0.962679354758973	0.854430451840442	0.762513543618799	0.070667913908577	0.766294887384408	-0.321976351118608	-0.0590586756021103	0.454769789785369	0.798944042987253
L326	0.00632713880853902	-0.371730960635184	-0.479979863553715	0.683431895657617	0.0228877369074107	1.74728367437579e-06	1.54402280263771	1.80694047815421	6.75556260331479e-16	4.54293755337706e-05
L33	9.00365393588508e-05	-0.603917655128374	-0.71689119240314	0.273565551556914	0.000668842863808606	6.69160457042824e-07	1.54402280263771	2.44759243022813	0	2.14131346253704e-05
L334	0.00010395217486032	-0.623932853838067	-0.732181756756598	0.285425896905122	0.00074558801279126	0.0717769398089082	-0.476382164019524	-0.213464488503027	0.211703260989821	0.0995306898683527
L335	0.460144135484426	-0.207811625964715	-0.316060528883246	1.13059458188024	0.57297624944561	0.220470685870439	-0.143070908715578	0.11984676680092	0.157808314370621	0.262796003788259
L336	0.535036261687883	0.276246013843774	0.169435066646221	0.537389213883663	0.639583577190114	0.753846815498218	-0.743901547429738	0.0791685977581364	0.577576267502931	0.787940390068489
L337	0.0194056384707727	-0.484012004778555	-0.590822951976108	0.416406384281119	0.0545455784043341	0.108745131912862	-0.598250856944062	0.224819288243813	0.216142600469607	0.144530271168532
L339	0.584271787747271	0.365318999031338	0.258508051833784	1.13676383510795	0.680832111212506	0.000119300366288579	1.54402280263771	2.36709294782559	0	0.000734034184685203
L34	0.014136961822652	-0.404839728557177	-0.517813265831943	0.576109541520511	0.0414153247762199	6.69160457042824e-07	1.54402280263771	2.44759243022813	4.0798169976532e-16	2.14131346253704e-05
L341	0.756703158104069	0.347330077594716	0.240519130397162	1.54256468034872	0.82405370097197	0.00213163905556451	0.725743498600228	1.5488136437881	0.734148952776305	0.00583395952049233
L343	0.03990113901997	-0.248502995873198	-0.355313943070751	0.29783264383588	0.0902112708277583	0.00167378533410704	0.745423195765792	1.56849334095367	0.710808211444133	0.00476914177389404
L344	0.853023889067968	0.0513124904913004	-0.0569364124272306	0.825585022768801	0.893848709955352	0.167935296642807	0.06359588376814	0.326513559284638	0.506641657899227	0.207919891081571
L347	0.871981744071776	0.0660988747613187	-0.043418207713984	0.631606722096934	0.911418104356429	0.0438358346310625	-0.724721563098558	0.523472775692819	0.493788309891453	0.0653609577294695
L350	0.270384684246849	-0.0646961556373689	-0.174213238112672	0.350938926309039	0.397455931613742	0.229541148039642	-1.0330545365142	0.215139802277178	0.354039937405664	0.272826050241403
L351	0.0676860474024989	-0.146179625435354	-0.255696707910657	0.254287434421763	0.139393048116037	0.00019794967773913	-0.389877446272554	0.858316892518824	0.300255334215695	0.00103304922558869
L354	0.00182259788225062	-0.400859534680136	-0.510376617155439	0.21938127293658	0.00851910920242988	4.9201691217468e-05	0.184780843433865	1.43297518222524	0.393662319613566	0.000411985776094167
L357	0.906182617922932	0.0880053438047355	-0.0215117386705672	0.427962129997196	0.92850238683729	0.0971710922961524	-1.46888968562871	-0.220695346837335	0.211494980688112	0.130397336758708
L359	0.174059016519353	-0.102589775424305	-0.212106857899608	0.333855820811201	0.288480282358768	0.13505913998662	-1.45274011176441	-0.204545772973037	0.229833106409043	0.173946136948712
L361	0.602098482888447	0.205464186148344	0.0959471036730414	0.490487652885336	0.695758246893317	1.64684075720147e-06	0.663223249363866	1.91141758815524	0.105565344616124	4.54293755337706e-05
L363	0.404843325693182	0.00162085885352424	-0.107896223621778	0.228779721298195	0.534650233296392	8.28867304525464e-10	1.43221161988771	2.68040595867909	0.264391434329921	3.44808798682593e-07
L369	0.977718052896117	0.114499264991677	0.00498218251637385	0.403182161482448	0.98007400001153	4.7895247626707e-06	1.54402280263771	2.79221714142909	2.55262288027369e-16	9.49768148350422e-05
L37	0.00294617050539948	-0.575392152795895	-0.688365690070661	0.299972753012334	0.0123798679822847	6.69160457042824e-07	1.54402280263771	2.44759243022813	0	2.14131346253704e-05
L371	0.00673859697362399	-0.33659411255318	-0.446111195028483	0.270028725259469	0.0237564096697252	0.0128350711558447	0.0270454105990196	1.2752397493904	0.900426080759293	0.0237306204481396
L374	4.90184934439829e-05	-1.18146501173306	-1.29373775201105	0.453781237244156	0.000416157005565243	5.76386736063701e-05	1.54402280263771	2.3811502792408	0	0.000452409211702829
L38	0.0280256000290466	-0.465956993354185	-0.578930530628951	0.477871742210824	0.0698122731262479	6.69160457042824e-07	1.54402280263771	2.44759243022813	2.7570479193079e-16	2.14131346253704e-05
L380	7.97146397532659e-05	-1.25966299086695	-1.37193573114494	0.604391762812018	0.000625684719572804	0.00261894723674668	1.06856107604681	1.9056885526499	0.886083209707498	0.00676696925768086
L383	0.000622859481484991	-0.905745646291209	-1.0180183865692	0.910505376076595	0.00354944581229803	0.117939503539162	-0.36195512455733	0.47517235204576	0.843255802954942	0.156251062013666
L384	0.364103321049936	0.371700359683615	0.259427619405626	0.772946064521282	0.489697997485548	0.161239305177422	-0.354737471315823	0.482390005287267	0.748772001875087	0.200225525235246
L386	0.352603583894802	-0.281018127048373	-0.393290867326363	1.14000584025764	0.484102610231807	0.0485733816243126	0.967348157060442	1.80447563366353	1.83523609516817	0.0711497420975847
L391	0.312139029099704	-0.289249925678301	-0.40152266595629	1.05367227471292	0.441182422199785	0.000105175343208009	1.35585276337552	2.19298023997861	0.598841046215059	0.000683639730852061
L394	0.020420133673495	-0.270047385463379	-0.382320125741368	0.70776031922436	0.0558866816327231	0.0560815317750042	0.0288449212743077	0.865972397877397	1.10963861516566	0.0793534599265366
L395	0.024937510831036	-0.809086783193298	-0.921359523471287	0.705465005788918	0.0642648724677945	5.76386736063701e-05	1.54402280263771	2.3811502792408	4.0798169976532e-16	0.000452409211702829
L396	0.550157914195667	-0.197046326011853	-0.309319066289842	1.46610533481354	0.652039009417086	0.0343311531495022	0.0404888696372057	0.877616346240295	0.7964228948667	0.0523141381325748
L399	0.831041319577161	0.20696877497999	0.0946960347020004	1.29490244615301	0.879677325557504	0.0115579915340533	0.92311818059177	1.76024565719486	1.15322730775282	0.0219549062929962
L4	0.238519283185477	-0.191611589953339	-0.303019153497263	0.658329391998531	0.366140301864053	0.000270767628456495	1.28863063900461	2.46151429735872	0.709082322624998	0.0012324717881711
L400	0.318624082048454	0.492326497114928	0.372919527102689	0.837973450855982	0.446288276539248	0.0664760360969601	-1.50273135487138	-0.292801193836268	0.247253981291588	0.0927987617997832
L401	3.29524088554764e-06	1.35122396221942	1.23181699220718	0.437663814255135	4.89578645852792e-05	0.156521281354603	-0.983214357670871	0.226715803364244	0.272682396227055	0.196715568107295
L404	0.00439657714389183	-0.880420449272778	-0.999614500545577	0.704739565569383	0.0169349638135093	0.00377041067973814	0.76647257165758	1.90868154704564	0.944063919935921	0.00871383801539481
L405	0.582179478608918	0.424791853744883	0.305597802472084	1.41848812651703	0.680299615453118	0.275861399430315	-0.701211673753912	0.440997301634146	0.956167686876716	0.320554028388299
L406	0.763955916928065	0.226729831893508	0.107322861881269	1.1623046959747	0.825469250498896	0.0103699160948497	-1.58615446940211	-0.376224308366999	0.157631118280764	0.0204449530590401
L407	6.36240974369594e-05	-0.945224154685929	-1.06441820595873	0.350826899517682	0.000529352490675502	8.27234494410558e-06	1.54402280263771	2.68623177802577	2.55262288027369e-16	9.63423575424803e-05
L408	0.125919941129547	0.572981254259084	0.453574284246845	0.634694075050372	0.228869091251351	0.416723831725947	-1.10663507263521	0.103295088399902	0.151685309253943	0.463521695181802
L41	1.12495981426732e-07	-0.5272678284384	-0.640241365713166	0.0960455098198224	3.3427377338229e-06	6.69160457042824e-07	1.54402280263771	2.44759243022813	0	2.14131346253704e-05
L414	0.407302397101239	0.419011728645151	0.299604758632912	0.897994668872436	0.536195560740872	0.0778558351051383	-1.44655311016123	-0.236622949126114	0.153385303073171	0.106539563828084
