Strains	lavene	p.value	p.valueW	Mean	fc	ci	p.adj
L179	0.0105638211229149	0.0309765938829548	0.013921913328144	0.600847601047897	0.236794645105715	0.0448502390770159	0.0455344984286544
L183	0.348815742557167	0.423063474044352	0.713303173878458	0.430118781376075	0.0660658254338933	0.129483916696744	0.47057327594238
L201	0.949635014222151	0.491174084757212	0.713303173878458	0.441598298880276	0.0775453429380938	0.221220525921727	0.537706366471053
L203	0.727000066940685	0.00700937091553869	0.013921913328144	0.764501677732562	0.40044872179038	0.203281139990835	0.0130757771339197
L205	0.000949770625433915	0.00224376101066921	0.0107995908820092	1	0.635947044057818	0	0.00507285098064343
L216	0.878430424204763	0.00103454945277124	0.0194510333313625	0.858029598825832	0.49397664288365	0.176703471841792	0.00264032252977201
L222	0.00287111770329737	0.926280487194818	1	0.357499604964212	-0.00655335097796989	0.0256657536818203	0.935273501633603
L226	0.000301983845788404	0.00224376101066921	0.00574114237923868	1	0.635947044057818	0	0.00507285098064343
L180	0.784017013470216	0.123922366509617	0.120690800527446	0.436970927623102	0.0404695326829475	0.0571727045938048	0.15862062913231
L182	0.0886997131483786	0.865509365158498	1	0.401491183387118	0.00498978844696429	0.0651269345120743	0.880322483877592
L185	0.853113680406189	0.171492606219786	0.315302452081746	0.430524583122851	0.0340231881826969	0.0533778104668396	0.208956129181636
L186	0.838730686219542	0.233752249602254	0.522816653919089	0.433488571517982	0.0369871765778278	0.0763688422775842	0.275470073185659
L187	0.69255462013741	0.39204555941723	0.648076868139146	0.413709309176609	0.0172079142364552	0.036801708116889	0.438416539563354
L189	0.151659939117036	0.944639231008966	0.688920555804461	0.399286857089471	0.00278546214931669	0.0943694394942245	0.949202705554903
L191	0.118788067126998	2.12285826050546e-06	0.00811311726556578	0.767480322189226	0.370978927249072	0.0968507701750523	2.43168832745564e-05
L194	0.30734032632305	0.0525730199176201	0.0655521611655026	0.501879656291421	0.105378261351267	0.118213986167974	0.074389034985476
L196	0.167892008190601	0.969231167954381	0.810181236410474	0.397782136844637	0.0012807419044828	0.0756510341494067	0.969231167954381
L198	0.00648938022032775	1.06264466693702e-07	0.00366454759003854	1	0.603498605059846	5.21051963535337e-17	2.00936446111727e-06
L202	0.107635403923502	8.05596606923574e-05	0.00811311726556578	0.666930112154727	0.270428717214573	0.113688149411457	0.000356519349447029
L208	0.815248864242354	4.47937289964476e-10	0.00366454759003854	0.979166666666667	0.582665271726513	0.0535537882424232	2.66202732321746e-08
L210	0.886402625700751	0.0663278064513178	0.120690800527446	0.349188997477932	-0.0473123974622221	0.0523728559297586	0.0913654552441994
L220	0.702496351343546	0.851100518490752	0.927264473525232	0.400761878235226	0.00426048329507178	0.0498972534863418	0.867788763951355
L230	0.0127572690753736	1.06264466693702e-07	0.0054941108756312	1	0.603498605059846	0	2.00936446111727e-06
L231	0.667834096929024	0.0609211738751939	0.11134688653314	0.535636318374182	0.154000836738701	0.0952001997208409	0.0847598940872263
L245	0.804686405008884	0.0225850737166553	0.0699543585800103	0.572158548578942	0.19052306694346	0.0904799360533171	0.034669338251397
L247	0.100637165824961	1.25543578140619e-05	0.0150784984356425	1	0.618364518364518	1.37852395965395e-16	8.21045235177936e-05
L248	0.452753780200622	0.158163972431357	0.112351197690464	0.535449866391898	0.153814384756416	0.222520931343708	0.194663350684748
L250	0.333325587967362	0.145479291910433	0.177909594986983	0.280527834356897	-0.101107647278585	0.0577398373806364	0.183263005675915
L257	0.902229224063101	0.000127558526456185	0.0130618452007295	0.927486475239284	0.545850993603803	0.124485873346622	0.000495928476689467
L261	0.264851263494425	0.456926529574311	0.27034414065478	0.429799065795636	0.0481635841601547	0.0540506448217684	0.504194791254412
L262	0.993859477266069	0.046049425761299	0.11134688653314	0.591196326135679	0.209560844500198	0.159435781771504	0.0665158372107652
L265	0.868770946302464	0.27842121296349	0.177909594986983	0.470101858925388	0.0884663772899066	0.120301037632227	0.320839957320809
L267	0.305618426190119	0.308996993002339	0.460558169227093	0.312981849611063	-0.0686536320244186	0.0630263120354868	0.352171915312255
L272	0.778836136919115	0.00550749226609872	0.0199644533052161	0.67864532315062	0.297009841515138	0.119677218748575	0.0108071546353635
L274	0.879118680062459	0.00467790307487676	0.0265187219594307	0.900793650793651	0.519158169158169	0.315718879492431	0.00935580614975352
